TradeID,Time,Symbol,Side,Entry,StopLoss,Target,ExitPrice,Quantity,Status,PnL
1,2026-07-25 13:23:24,NIFTY 23800 CE 28 JUL 26,WAIT,122.65,103.82,160.31,,5,OPEN,0.0
1,2026-07-25 13:37:02,NIFTY 23800 CE 28 JUL 26,WAIT,122.65,103.82,160.31,,5,OPEN,0.0
1,2026-07-25 13:51:28,NIFTY 23800 CE 28 JUL 26,WAIT,122.65,103.82,160.31,,5,OPEN,0.0
1,2026-07-25 13:54:37,NIFTY 23800 CE 28 JUL 26,BUY,122.65,103.82,160.31,,5,OPEN,0.0
1,2026-07-25 13:58:29,NIFTY 23800 CE 28 JUL 26,BUY,122.65,103.82,160.31,,5,OPEN,0.0
1,2026-07-25 14:00:06,NIFTY 23800 CE 28 JUL 26,BUY,122.65,103.82,160.31,,5,OPEN,0.0
1,2026-07-25 14:04:30,NIFTY 23800 CE 28 JUL 26,BUY,122.65,103.82,160.31,,5,OPEN,0.0
1,2026-07-25 14:13:23,NIFTY 23800 CE 28 JUL 26,BUY,122.65,103.82,160.31,,5,OPEN,0.0
1,2026-07-26 11:13:37,NIFTY 23800 CE 28 JUL 26,BUY,122.65,103.82,160.31,,5,OPEN,0.0
1,2026-07-27 13:20:01,NIFTY 23800 CE 28 JUL 26,BUY,201.25,182.42,238.91,,5,OPEN,0.0
2,2026-07-27 13:24:58,NIFTY 23800 CE 28 JUL 26,BUY,198.0,179.17,235.66,,5,OPEN,0.0
